Sr No,Brand Name,Category Name,Product Code,Product Name,MRP,Discount,GST @18%,PKG
1,Great White,Fiana Model-mn,20101 - MN,Fiana 10a 1way Switch-mn,20,,,0
2,Great White,Fiana Model-mn,20102 - MN,Fiana 10a 2way Switch-mn,179,,,0
3,Great White,Fiana Model-mn,,Fiana 10a Bell Switch-2m With Indicator-mn,217,,,0
4,Great White,Fiana Model-mn,20103-MN,Fiana 10a Bell Switch-mn,174,,,0
5,Great White,Fiana Model-mn,,Fiana 12m Evo Plate_mn,398,,,0
6,Great White,Fiana Model-mn,,Fiana 16a Sp Mcb Mn,387,,,0
7,Great White,Fiana Model-mn,,Fiana 18m Evo Plate_mn,504,,,0
8,Great White,Fiana Model-mn,,Fiana 1m Evo Plate_mn,165,,,0
9,Great White,Fiana Model-mn,,Fiana 20a 1way Switch W/led Mn,198,,,0
10,Great White,Fiana Model-mn,,Fiana 20a 1way Switch-mn,161,,,0
11,Great White,Fiana Model-mn,,Fiana 20a 2way Switch_mn,233,,,0
12,Great White,Fiana Model-mn,,Fiana 25a Sp Mcb_mn,387,,,0
13,Great White,Fiana Model-mn,,Fiana 2m Evo Plate_mn,165,,,0
14,Great White,Fiana Model-mn,,Fiana 32a Dp Switch-mn,500,,,0
15,Great White,Fiana Model-mn,,Fiana 32a Sp Mcb_mn,387,,,0
16,Great White,Fiana Model-mn,,Fiana 3m Evo Plate_mn,186,,,0
17,Great White,Fiana Model-mn,,Fiana 4m Evo Plate_mn,207,,,0
18,Great White,Fiana Model-mn,,Fiana 6/16a-power Socket-mn,306,,,0
19,Great White,Fiana Model-mn,,Fiana 6a 3 Pin Socket-mn,45,,,0
20,Great White,Fiana Model-mn,,Fiana 6m Evo Plate_mn,281,,,0
21,Great White,Fiana Model-mn,,Fiana 8m H Evo Plate_mn,323,,,0
22,Great White,Fiana Model-mn,,Fiana Blanking Plate-mn,35,,,0
23,Great White,Fiana Model-mn,,Fiana Fan Regulator-1m-mn,400,,,0
24,Great White,Fiana Model-mn,,Fiana Fan Regulator-2m-mn,565,,,0
25,Great White,Fiana Model-mn,,Fiana Flat 10a 1way Switch Mn,20,,,0
26,Great White,Fiana Model-mn,,Fiana Flat 10a 2way Switch Mn,187,,,0
27,Great White,Fiana Model-mn,20103 - MN,Fiana Flat 10a Bell Push Mn,183,,,0
28,Great White,Fiana Model-mn,20212 - MN,Fiana Flat 10a Bell Push With Indicator Mn,191,,,0
29,Great White,Fiana Model-mn,,Fiana Flat 20a 1way Switch With Indicator Mn,208,,,0
30,Great White,Fiana Model-mn,,Fiana Flat 20a 1way Switch_mn,169,,,0
31,Great White,Fiana Model-mn,,Fiana Flat 32a Dp Switch With Indicator 2m Mn,518,,,0
32,Great White,Fiana Model-wh,,Fiana 10a 1way Switch_wh,17,,,0
33,Great White,Fiana Model-wh,,Fiana 10a 2way Switch,151,,,0
34,Great White,Fiana Model-wh,,Fiana 10a Bell Switch-2m,175,,,0
35,Great White,Fiana Model-wh,,Fiana 10a Bell Switch-2m With Indicator_wh,198,,,0
36,Great White,Fiana Model-wh,,Fiana 10a Bell Switch_wh,158,,,0
37,Great White,Fiana Model-wh,,Fiana 10a Sp Mcb,351,,,0
38,Great White,Fiana Model-wh,,Fiana 12m Evo Plate_chrome White,330,,,0
39,Great White,Fiana Model-wh,,Fiana 12m Twin Plate_ White,0,,,0
40,Great White,Fiana Model-wh,,Fiana 16a Sp Mcb,351,,,0
41,Great White,Fiana Model-wh,,Fiana 16m Evo Plate_chrome White,355,,,0
42,Great White,Fiana Model-wh,,Fiana 18m Evo Plate_chrome White,412,,,0
43,Great White,Fiana Model-wh,,Fiana 1m Evo Plate_chrome White,99,,,0
44,Great White,Fiana Model-wh,,Fiana 20a 1way Switch,151,,,0
45,Great White,Fiana Model-wh,,Fiana 20a 1way Switch W/led,180,,,0
46,Great White,Fiana Model-wh,,Fiana 20a 2way Switch,212,,,0
47,Great White,Fiana Model-wh,,Fiana 20a Sp Mcb,351,,,0
48,Great White,Fiana Model-wh,,Fiana 25a Sp Mcb_wh,351,,,0
49,Great White,Fiana Model-wh,,Fiana 2m Evo Plate_chrome White,99,,,0
50,Great White,Fiana Model-wh,,Fiana 2m Twin Plate_ White,0,,,0
51,Great White,Fiana Model-wh,,Fiana 32a Dp Switch,480,,,0
52,Great White,Fiana Model-wh,,Fiana 32a Sp Mcb,351,,,0
53,Great White,Fiana Model-wh,,Fiana 3m Evo Plate_chrome White,125,,,0
54,Great White,Fiana Model-wh,,Fiana 3m Twin Plate_ White,0,,,0
55,Great White,Fiana Model-wh,,Fiana 4m Evo Plate_chrome White,152,,,0
56,Great White,Fiana Model-wh,,Fiana 4m Twin Plate_ White,0,,,0
57,Great White,Fiana Model-wh,,Fiana 6/16a-power Socket-wh,280,,,0
58,Great White,Fiana Model-wh,,Fiana 6a 3 Pin Socket_wh,39,,,0
59,Great White,Fiana Model-wh,,Fiana 6m Evo Plate_chrome White,207,,,0
60,Great White,Fiana Model-wh,,Fiana 6m Twin Plate_ White,0,,,0
61,Great White,Fiana Model-wh,,Fiana 8m Evo Plate_chrome White,260,,,0
62,Great White,Fiana Model-wh,,Fiana 8m H Twin Plate_ White,0,,,0
63,Great White,Fiana Model-wh,,Fiana Blanking Plate,32,,,0
64,Great White,Fiana Model-wh,,Fiana C Type Charger,1472,,,0
65,Great White,Fiana Model-wh,,Fiana Fan Regulator-1m,361,,,0
66,Great White,Fiana Model-wh,,Fiana Fan Regulator-2m,512,,,0
67,Great White,Fiana Model-wh,,Fiana Flat 10a 1way Switch_wh,17,,,0
68,Great White,Fiana Model-wh,,Fiana Flat 10a 2way Switch-wh,171,,,0
69,Great White,Fiana Model-wh,,Fiana Flat 10a Bell Push With Indicator-wh,175,,,0
70,Great White,Fiana Model-wh,,Fiana Flat 10a Bell Push_wh,166,,,0
71,Great White,Fiana Model-wh,,Fiana Flat 20a 1way Switch_wh,154,,,0
72,Great White,Fiana Model-wh,,Fiana Flat 32a Dp Switch With Indicator_wh,249,,,0
73,Great White,Fiana Model-wh,,Fiana Night Lamp (red),91,,,0
74,Great White,Fiana Model-wh,,Fiana Telephone Socket Rj11,142,,,0
75,Great White,Fiana Model-wh,,Fiana Usb Charger,0,,,0
76,Great White,Fiana Model-wh,,Socket Outlet (rj-45) ( For Ethernet),143,,,0
77,Great White,Fiana Model-wh,,Tv Socket Outlet,143,,,0
78,Great White,Gw Distribution Box,,Gw 12 Way Spn Dd Mcb Box,1891,,,0
79,Great White,Gw Distribution Box,,Gw 12 Way Tpn Dd Mcb Box,6202,,,0
80,Great White,Gw Distribution Box,,Gw 16 Way Spn Dd Mcb Box,2395,,,0
81,Great White,Gw Distribution Box,,Gw 4 Way Spn Dd Mcb Box,1171,,,0
82,Great White,Gw Distribution Box,,Gw 4 Way Tpn Dd Mcb Box,3024,,,0
83,Great White,Gw Distribution Box,,Gw 6 Way Spn Dd Mcb Box,1344,,,0
84,Great White,Gw Distribution Box,,Gw 6 Way Tpn Dd Mcb Box,3710,,,0
85,Great White,Gw Distribution Box,,Gw 8 Way Spn Dd Mcb Box,1493,,,0
86,Great White,Gw Distribution Box,,Gw 8 Way Tpn Dd Mcb Box,4574,,,0
87,Great White,Gw Metal Box,,Gw Metal Box 1 Model,108,,,0
88,Great White,Gw Metal Box,,Gw Metal Box 12 Model,397,,,0
89,Great White,Gw Metal Box,,Gw Metal Box 18 Model,493,,,0
90,Great White,Gw Metal Box,,Gw Metal Box 3 Model,150,,,0
91,Great White,Gw Metal Box,,Gw Metal Box 4 Model,182,,,0
92,Great White,Gw Metal Box,,Gw Metal Box 6 Model,248,,,0
93,Great White,Gw Metal Box,,Gw Metal Box 8h Model,325,,,0
94,Great White,Gw Outer Box,,Outer Box With Cover-ip55-2m,594,,,0
95,Great White,Gw Outer Box,,Outer Box With Cover-ip55-3m,699,,,0
96,Great White,Gw Outer Box,,Outer Box With Cover-ip55-4m,940,,,0
97,Great White,Gw Petra,,Petra 16a 3 Pin Top,132,,,0
98,Great White,Gw Petra,,Petra 6a 1 Way Switch,12,,,0
99,Great White,Gw Petra,,Petra 6a 3 Pin Socket,28,,,0
100,Great White,Gw Petra,,Petra 6a 3 Pin Top,98,,,0
101,Great White,Gw Petra,,Petra Angle Holder,42,,,0
102,Great White,Gw Petra,,Petra Batten Holder,42,,,0
103,Great White,Gw Petra,,Petra Mini Celing Rose 2 Part,50,,,0
104,Great White,Gw Petra,,Petra Ora Angle Holder (metal Ring),72,,,0
105,Great White,Gw Petra,,Petra Ora Batten Holder (metal Ring),72,,,0
106,Great White,Gw Petra,,Petra Orix Angle Holder,60,,,0
107,Great White,Gw Petra,,Petra Orix Batten Holder (metal Ring),60,,,0
108,Great White,Gw Petra,,Petra S.s Combine 5 In 1 W/i,338,,,0
109,Great White,Gw Petra,,Petra S.s. Combined Without Shutter,328,,,0
110,Great White,Gw Petra,,Petra Ss Combine W/box (4h),328,,,0
111,Great White,Gw Pipes And Accessories,,Gw - Junction Box 3way 20mm-white,0,,,0
112,Great White,Gw Pipes And Accessories,,Gw - Junction Box 4way 20mm-white,0,,,0
113,Great White,Gw Pipes And Accessories,,Gw Conduite Pipe - Hms - 25mm-white,0,,,0
114,Great White,Gw Pipes And Accessories,,Gw Conduite Pipe - Lms - 25mm-white,0,,,0
115,Great White,Gw Pipes And Accessories,,Gw Conduite Pipe - Mms - 25mm-white,0,,,0
116,Great White,Gw Pipes And Accessories,,Gw- Bend 20mm-white,0,,,0
117,Great White,Gw Pipes And Accessories,,Gw- Bend 25mm-white,0,,,0
118,Great White,Gw Pipes And Accessories,,Gw- Junction Box 3way 25mm-white,0,,,0
119,Great White,Gw Pipes And Accessories,,Gw-junction Box 4way 25mm-white,0,,,0
120,Great White,Gw Pipes And Accessories,,Gw-pvc Saddle 25mm-white,0,,,0
121,Great White,Gw Surface Box,,Fiana 12m Surface Box With Plate,188,,,0
122,Great White,Gw Surface Box,,Fiana 18m Surface Box With Plate,258,,,0
123,Great White,Gw Surface Box,,Fiana 1m Surface Box With Plate,61,,,0
124,Great White,Gw Surface Box,,Fiana 2m Surface Box With Plate,72,,,0
125,Great White,Gw Surface Box,,Fiana 3m Surface Box With Plate,91,,,0
126,Great White,Gw Surface Box,,Fiana 4m Surface Box With Plate,105,,,0
127,Great White,Gw Surface Box,,Fiana 6m Surface Box With Plate,131,,,0
128,Great White,Gw Surface Box,,Fiana 8m-h Surface Box With Plate,154,,,0
129,Great White,Gw Tape,,Gw Tape - Black,7,,,0
130,Great White,Gw Tape,,Gw Tape - Blue,7,,,0
131,Great White,Gw Tape,,Gw Tape - Green,7,,,0
132,Great White,Gw Tape,,Gw Tape - Red,7,,,0
133,Great White,Gw Tape,,Gw Tape - Yellow,7,,,0
134,Halonix,Appliances,,Halo Grip Pvc Tape (black),7,,,0
135,Halonix,Appliances,,Halo Grip Pvc Tape (blue),7,,,0
136,Halonix,Appliances,,Halo Grip Pvc Tape (green),7,,,0
137,Halonix,Appliances,,Halo Grip Pvc Tape (red),7,,,0
138,Halonix,Appliances,,Halo Grip Pvc Tape (white),7,,,0
139,Halonix,Appliances,,Halo Grip Pvc Tape (yellow),7,,,0
140,Halonix,Appliances,,Halonix Agni Torch 3w Rechargable,241.73,,,0
141,Halonix,Appliances,,Halonix Alpha Iron 1000w,512,,,0
142,Halonix,Appliances,,Halonix Classic Iron 1000w,707,,,0
143,Halonix,Appliances,,Halonix Classic Pro Iron 1000w,757,,,0
144,Halonix,Appliances,,Halonix Dynamic Iron 1000w,512,,,0
145,Halonix,Appliances,,Halonix Fan-o Light Bldc 20w,0,,,0
146,Halonix,Appliances,,Halonix Fan-o-glow Desk Light 3w,395,,,0
147,Halonix,Appliances,,Halonix Flair Fusion Box 16a,212,,,0
148,Halonix,Appliances,,Halonix Flair Fusion Box Duos 16a,239,,,0
149,Halonix,Appliances,,Halonix Flair Plug Top 16a,61,,,0
150,Halonix,Appliances,,Halonix Flair Plug Top 6a,39,,,0
151,Halonix,Appliances,,Halonix Flair Pro Plug Top 16a ( Indicator),64,,,0
152,Halonix,Appliances,,Halonix Flair Pro Plug Top 6a (indicator),41,,,0
153,Halonix,Appliances,,Halonix Flatron Iron 1000w,434,,,0
154,Halonix,Appliances,,Halonix Flatron Neo Iron 600w,373,,,0
155,Halonix,Appliances,,Halonix Glimer Pro Torch 5w +3w Usb,465,,,0
156,Halonix,Appliances,,Halonix Jasper Neo Ceramic Heater 1000w,566,,,0
157,Halonix,Appliances,,Halonix Jasper Pro Carbon Heater 1500w,3113,,,0
158,Halonix,Appliances,,Halonix Jasper Quartz Heater 800w,814,,,0
159,Halonix,Appliances,,Halonix Magma Fan Room Heater 1600w,823,,,0
160,Halonix,Appliances,,Halonix Magma Plus Fan Room Heater 1600w,1015,,,0
161,Halonix,Appliances,,Halonix Magma Pro Fan Room Heater 2000w,1687,,,0
162,Halonix,Appliances,,Halonix Magnus Desk Light,332,,,0
163,Halonix,Appliances,,Halonix Massal Mini Torch 1w,84,,,0
164,Halonix,Appliances,,Halonix Massal Neon Torch (1w),96,,,0
165,Halonix,Appliances,,Halonix Massal Xl Torch,103,,,0
166,Halonix,Appliances,,Halonix Mini Lite Torch (rechargable),188,,,0
167,Halonix,Appliances,,Halonix Nova Caldo Immersion Rod 1000w,348,,,0
168,Halonix,Appliances,,Halonix Nova Caldo Immersion Rod 1500w,366,,,0
169,Halonix,Appliances,,Halonix Nova Premio Immersion Rod 1000w,319,,,0
170,Halonix,Appliances,,Halonix Nova Premio Immersion Rod 1500w,337,,,0
171,Halonix,Appliances,,Halonix Sonic Ding Dong Bell,118,,,0
172,Halonix,Appliances,,Halonix Sonic Hexa Melody Door Bell,192,,,0
173,Halonix,Appliances,,Halonix Sonic Marvel Church Door Bell,133,,,0
174,Halonix,Appliances,,Halonix Sonic Marvel Gayatri Mantra Door Bell,133,,,0
175,Halonix,Appliances,,Halonix Strike Bug Zapper Blue,217,,,0
176,Halonix,Appliances,,Halonix Strike Bug Zapper Orange,217,,,0
177,Halonix,Appliances,,Halonix Strike+ Bug Zapper Red,354,,,0
178,Halonix,Appliances,,Halonix Triny Pro Extn Cord (4m),222,,,0
179,Halonix,Appliances,,Halonix Triny Pro Extn Cord (8m),291,,,0
180,Halonix,Appliances,,Halonix Xtend Circlet (2m),361,,,0
181,Halonix,Appliances,,Halonix Xtend Circlet (4m),400,,,0
182,Halonix,Appliances,,Halonix Xtend Mini Multi Plug,62,,,0
183,Halonix,Appliances,,Halonix Xtend Power Cord (5mtr),317,,,0
184,Halonix,Appliances,,Halonix Xtend+ Spike Guard (1.6m),241,,,0
185,Halonix,Distribution Box,,Halonix Sure Db 12 Way Spn (dd),758,,,0
186,Halonix,Distribution Box,,Halonix Sure Db 16 Way Spn (dd),883,,,0
187,Halonix,Distribution Box,,Halonix Sure Db 4 Way Tpn (dd),1451,,,0
188,Halonix,Distribution Box,,Halonix Sure Db 6 Way Spn (dd),568,,,0
189,Halonix,Distribution Box,,Halonix Sure Db 6 Way Tpn (dd),1706,,,0
190,Halonix,Distribution Box,,Halonix Sure Db 8 Way Spn (dd),631,,,0
191,Halonix,Exhaust Fan,,Halonix Axo-air Rg White Exhaust Fan 100mm,589,,,0
192,Halonix,Exhaust Fan,,Halonix Axo-air Rg White Exhaust Fan 150mm,664,,,0
193,Halonix,Exhaust Fan,,Halonix Breeze Portable Fan 10w,0,,,0
194,Halonix,Exhaust Fan,,Halonix Fresh-o-air Metal Exhaust 230mm,975,,,0
195,Halonix,Exhaust Fan,,Halonix Fresh-o-air Metal Exhaust 230mm Hs,1124,,,0
196,Halonix,Exhaust Fan,,Halonix Fresh-o-air Metal Exhaust 300mm,1158,,,0
197,Halonix,Exhaust Fan,,Halonix Krypton Hs Metal Exhaust 230mm,1125,,,0
198,Halonix,Exhaust Fan,,Halonix Krypton Metal Exhaust 230mm,975,,,0
199,Halonix,Exhaust Fan,,Halonix Trans-o-air Metal Exhaust 230mm,1605,,,0
200,Halonix,Exhaust Fan,,Halonix Vent-o-air Neo Exhaust Fan 150mm,840,,,0
201,Halonix,Exhaust Fan,,Halonix Vent-o-air Neo Exhaust Fan 200mm,902,,,0
202,Halonix,Exhaust Fan,,Halonix Vent-o-air Neo Exhaust Fan 200mm (black),902,,,0
203,Halonix,Exhaust Fan,,Halonix Vent-o-air Neo Exhaust Fan 250mm,1001,,,0
204,Halonix,Exhaust Fan,,Halonix Vent-o-air Neo Exhaust Fan 250mm (black),1001,,,0
205,Halonix,Halogen,,Halonix Halogen 1000w,83,,,0
206,Halonix,Halogen,,Halonix Halogen 500w,63,,,0
207,Halonix,Halogen,,Halonix Halogen Video 1000w,112,,,0
208,Halonix,Halogen,,Halonix Well Glass Led Fitting  40w,0,,,0
209,Halonix,Led Bulb & Batten,,Halonix Astron Jumbo Blaze 100w B22 (cw) (6k),755,,,0
210,Halonix,Led Bulb & Batten,,Halonix Astron Jumbo Blaze 30w B22 (cw) (6k),189,,,0
211,Halonix,Led Bulb & Batten,,Halonix Astron Jumbo Blaze 30w B22 (ww) (3k),189,,,0
212,Halonix,Led Bulb & Batten,,Halonix Astron Jumbo Blaze 30w E27 (cw) (6k),193,,,0
213,Halonix,Led Bulb & Batten,,Halonix Astron Jumbo Blaze 30w E27 (ww) (3k),193,,,0
214,Halonix,Led Bulb & Batten,,Halonix Astron Jumbo Blaze 40w B22 (cw) (6k),284,,,0
